# xp i yp j p u v ts tf
   0.00620   2    0.04103   8   1.013E+05 -3.047E-09  2.826E-03  2.930E+02  1.889E+03
   0.00620   2    0.04734   9   1.013E+05 -2.333E-09  3.083E-03  2.930E+02  1.990E+03
   0.00620   2    0.05366  10   1.013E+05 -1.560E-09  3.263E-03  2.930E+02  2.059E+03
   0.00620   2    0.05997  11   1.013E+05 -7.169E-10  3.373E-03  2.930E+02  2.105E+03
   0.00620   2    0.06628  12   1.013E+05  2.243E-10  3.402E-03  2.931E+02  2.133E+03
   0.00620   2    0.07259  13   1.013E+05  1.312E-09  3.355E-03  2.934E+02  2.149E+03
   0.00620   2    0.07891  14   1.013E+05  2.689E-09  3.187E-03  2.950E+02  2.158E+03
   0.00620   2    0.08522  15   1.013E+05  3.908E-09  2.683E-03  3.026E+02  2.163E+03
   0.00620   2    0.09153  16   1.013E+05  6.228E-09  2.661E-03  3.308E+02  2.166E+03
   0.00620   2    0.09784  17   1.013E+05  6.711E-09  8.981E-05  3.026E+02  1.576E+03
   0.00620   2    0.10416  18   1.013E+05  4.559E-09 -1.708E-04  2.950E+02  1.366E+03
   0.00620   2    0.11047  19   1.013E+05  3.130E-09 -2.657E-04  2.934E+02  1.281E+03
   0.00620   2    0.11678  20   1.013E+05  2.016E-09 -2.435E-04  2.931E+02  1.243E+03
   0.00620   2    0.12309  21   1.013E+05  1.251E-09 -2.096E-04  2.930E+02  1.223E+03
   0.00620   2    0.12941  22   1.013E+05  6.938E-10 -1.668E-04  2.930E+02  1.211E+03
   0.00620   2    0.13572  23   1.013E+05  2.929E-10 -1.030E-04  2.930E+02  1.204E+03
   0.00620   2    0.14203  24   1.013E+05  9.785E-12 -4.015E-05  2.930E+02  1.198E+03
   0.00620   2    0.14834  25   1.013E+05 -2.100E-10  1.766E-05  2.930E+02  1.194E+03
   0.00620   2    0.15466  26   1.013E+05 -3.882E-10  8.789E-05  2.930E+02  1.191E+03
   0.00620   2    0.16097  27   1.013E+05 -5.227E-10  1.664E-04  2.930E+02  1.187E+03
   0.00620   2    0.16728  28   1.013E+05 -6.219E-10  2.458E-04  2.930E+02  1.184E+03
   0.00620   2    0.17359  29   1.013E+05 -6.996E-10  3.247E-04  2.930E+02  1.181E+03
   0.00620   2    0.17991  30   1.013E+05 -7.668E-10  4.059E-04  2.930E+02  1.177E+03
   0.00620   2    0.18622  31   1.013E+05 -8.212E-10  4.981E-04  2.930E+02  1.173E+03
   0.00620   2    0.19253  32   1.013E+05 -8.392E-10  6.066E-04  2.930E+02  1.169E+03
   0.00620   2    0.19884  33   1.013E+05 -8.027E-10  7.128E-04  2.930E+02  1.163E+03
   0.00620   2    0.20516  34   1.013E+05 -7.370E-10  7.948E-04  2.930E+02  1.156E+03
   0.00620   2    0.21147  35   1.013E+05 -6.592E-10  8.729E-04  2.930E+02  1.148E+03
   0.00620   2    0.21778  36   1.013E+05 -5.503E-10  9.460E-04  2.930E+02  1.137E+03
   0.00620   2    0.22409  37   1.013E+05 -4.233E-10  9.919E-04  2.930E+02  1.125E+03
   0.00620   2    0.23041  38   1.013E+05 -2.951E-10  1.027E-03  2.930E+02  1.110E+03
   0.00620   2    0.23672  39   1.013E+05 -1.559E-10  1.053E-03  2.930E+02  1.092E+03
   0.00620   2    0.24303  40   1.013E+05 -1.535E-11  1.055E-03  2.930E+02  1.071E+03
   0.00620   2    0.24934  41   1.013E+05  1.131E-10  1.046E-03  2.930E+02  1.047E+03
   0.00620   2    0.25566  42   1.013E+05  2.330E-10  1.027E-03  2.930E+02  1.021E+03
   0.00620   2    0.26197  43   1.013E+05  3.400E-10  9.949E-04  2.930E+02  9.914E+02
   0.00620   2    0.26828  44   1.013E+05  4.283E-10  9.516E-04  2.930E+02  9.596E+02
   0.00620   2    0.27459  45   1.013E+05  4.939E-10  8.982E-04  2.930E+02  9.257E+02
   0.00620   2    0.28091  46   1.013E+05  5.378E-10  8.443E-04  2.930E+02  8.903E+02
   0.00620   2    0.28722  47   1.013E+05  5.734E-10  7.918E-04  2.930E+02  8.538E+02
   0.00620   2    0.29353  48   1.013E+05  5.989E-10  7.290E-04  2.930E+02  8.167E+02
   0.00620   2    0.29984  49   1.013E+05  5.964E-10  6.610E-04  2.930E+02  7.795E+02
   0.00620   2    0.30616  50   1.013E+05  5.796E-10  6.090E-04  2.930E+02  7.429E+02
   0.00620   2    0.31247  51   1.013E+05  5.705E-10  5.602E-04  2.930E+02  7.072E+02
   0.00620   2    0.31878  52   1.013E+05  5.511E-10  5.004E-04  2.930E+02  6.726E+02
   0.00620   2    0.32509  53   1.013E+05  5.121E-10  4.498E-04  2.930E+02  6.395E+02
   0.00620   2    0.33141  54   1.013E+05  4.761E-10  4.135E-04  2.930E+02  6.083E+02
   0.00620   2    0.33772  55   1.013E+05  4.561E-10  3.794E-04  2.930E+02  5.789E+02
   0.00620   2    0.34403  56   1.013E+05  4.388E-10  3.359E-04  2.930E+02  5.514E+02
   0.00620   2    0.35034  57   1.013E+05  3.997E-10  2.865E-04  2.930E+02  5.259E+02
   0.00620   2    0.35666  58   1.013E+05  3.451E-10  2.552E-04  2.930E+02  5.023E+02
   0.00620   2    0.36297  59   1.013E+05  3.111E-10  2.420E-04  2.930E+02  4.809E+02
   0.00620   2    0.36928  60   1.013E+05  3.027E-10  2.215E-04  2.930E+02  4.612E+02
   0.00620   2    0.37559  61   1.013E+05  2.925E-10  1.895E-04  2.930E+02  4.434E+02
   0.00620   2    0.38191  62   1.013E+05  2.641E-10  1.570E-04  2.930E+02  4.272E+02
   0.00620   2    0.38822  63   1.013E+05  2.215E-10  1.331E-04  2.930E+02  4.126E+02
   0.00620   2    0.39453  64   1.013E+05  1.843E-10  1.240E-04  2.930E+02  3.995E+02
   0.00620   2    0.40084  65   1.013E+05  1.673E-10  1.179E-04  2.930E+02  3.878E+02
   0.00620   2    0.40716  66   1.013E+05  1.582E-10  1.026E-04  2.930E+02  3.773E+02
   0.00620   2    0.41347  67   1.013E+05  1.389E-10  8.445E-05  2.930E+02  3.680E+02
   0.00620   2    0.41978  68   1.013E+05  1.127E-10  7.445E-05  2.930E+02  3.597E+02
   0.00620   2    0.42609  69   1.013E+05  9.684E-11  7.280E-05  2.930E+02  3.524E+02
   0.00620   2    0.43241  70   1.013E+05  8.913E-11  6.535E-05  2.930E+02  3.460E+02
   0.00620   2    0.43872  71   1.013E+05  8.140E-11  6.024E-05  2.930E+02  3.404E+02
   0.00620   2    0.44503  72   1.013E+05  8.340E-11  5.849E-05  2.930E+02  3.355E+02
   0.00620   2    0.45134  73   1.013E+05  8.404E-11  4.483E-05  2.930E+02  3.312E+02
   0.00620   2    0.45766  74   1.013E+05  6.993E-11  3.353E-05  2.930E+02  3.276E+02
   0.00620   2    0.46397  75   1.013E+05  5.087E-11  2.854E-05  2.930E+02  3.245E+02
   0.00620   2    0.47028  76   1.013E+05  3.438E-11  2.857E-05  2.930E+02  3.220E+02
   0.00620   2    0.47659  77   1.013E+05  3.406E-11  3.692E-05  2.930E+02  3.199E+02
   0.00620   2    0.48291  78   1.013E+05  5.015E-11  3.455E-05  2.930E+02  3.183E+02
   0.00620   2    0.48922  79   1.013E+05  4.982E-11  1.897E-05  2.930E+02  3.171E+02
   0.00620   2    0.49553  80   1.013E+05  4.921E-11  2.380E-05  2.930E+02  3.163E+02
   0.00620   2    0.50184  81   1.013E+05  5.266E-11  1.048E-10  2.930E+02  3.159E+02
   0.00620   2    0.50500  82   1.013E+05  0.000E+00  1.048E-10  2.930E+02  3.159E+02
   0.01861   3    0.00000   1   1.013E+05  0.000E+00  0.000E+00  2.930E+02  2.930E+02
   0.01861   3    0.00316   2   1.013E+05 -8.232E-09  8.940E-05  2.930E+02  4.570E+02
   0.01861   3    0.00947   3   1.013E+05 -8.250E-09  7.452E-04  2.930E+02  7.769E+02
   0.01861   3    0.01578   4   1.013E+05 -7.829E-09  1.241E-03  2.930E+02  1.076E+03
   0.01861   3    0.02209   5   1.013E+05 -7.321E-09  1.690E-03  2.930E+02  1.343E+03
   0.01861   3    0.02841   6   1.013E+05 -6.673E-09  2.119E-03  2.930E+02  1.568E+03
   0.01861   3    0.03472   7   1.013E+05 -5.880E-09  2.503E-03  2.930E+02  1.750E+03
   0.01861   3    0.04103   8   1.013E+05 -4.952E-09  2.826E-03  2.930E+02  1.889E+03
   0.01861   3    0.04734   9   1.013E+05 -3.902E-09  3.083E-03  2.930E+02  1.990E+03
   0.01861   3    0.05366  10   1.013E+05 -2.742E-09  3.263E-03  2.930E+02  2.059E+03
   0.01861   3    0.05997  11   1.013E+05 -1.455E-09  3.373E-03  2.930E+02  2.105E+03
   0.01861   3    0.06628  12   1.013E+05 -7.400E-12  3.402E-03  2.931E+02  2.133E+03
   0.01861   3    0.07259  13   1.013E+05  1.653E-09  3.355E-03  2.934E+02  2.149E+03
   0.01861   3    0.07891  14   1.013E+05  3.668E-09  3.187E-03  2.950E+02  2.158E+03
   0.01861   3    0.08522  15   1.013E+05  5.532E-09  2.683E-03  3.026E+02  2.163E+03
   0.01861   3    0.09153  16   1.013E+05  8.533E-09  2.661E-03  3.308E+02  2.166E+03
   0.01861   3    0.09784  17   1.013E+05  9.353E-09  8.980E-05  3.026E+02  1.576E+03
   0.01861   3    0.10416  18   1.013E+05  7.020E-09 -1.708E-04  2.950E+02  1.366E+03
   0.01861   3    0.11047  19   1.013E+05  5.228E-09 -2.657E-04  2.934E+02  1.281E+03
   0.01861   3    0.11678  20   1.013E+05  3.692E-09 -2.435E-04  2.931E+02  1.243E+03
   0.01861   3    0.12309  21   1.013E+05  2.527E-09 -2.096E-04  2.930E+02  1.223E+03
   0.01861   3    0.12941  22   1.013E+05  1.620E-09 -1.668E-04  2.930E+02  1.211E+03
   0.01861   3    0.13572  23   1.013E+05  9.273E-10 -1.030E-04  2.930E+02  1.204E+03
   0.01861   3    0.14203  24   1.013E+05  4.084E-10 -4.015E-05  2.930E+02  1.198E+03
   0.01861   3    0.14834  25   1.013E+05  4.938E-13  1.766E-05  2.930E+02  1.194E+03
   0.01861   3    0.15466  26   1.013E+05 -3.270E-10  8.789E-05  2.930E+02  1.191E+03
   0.01861   3    0.16097  27   1.013E+05 -5.787E-10  1.664E-04  2.930E+02  1.187E+03
   0.01861   3    0.16728  28   1.013E+05 -7.717E-10  2.458E-04  2.930E+02  1.184E+03
   0.01861   3    0.17359  29   1.013E+05 -9.256E-10  3.247E-04  2.930E+02  1.181E+03
   0.01861   3    0.17991  30   1.013E+05 -1.056E-09  4.059E-04  2.930E+02  1.177E+03
   0.01861   3    0.18622  31   1.013E+05 -1.159E-09  4.981E-04  2.930E+02  1.173E+03
   0.01861   3    0.19253  32   1.013E+05 -1.207E-09  6.066E-04  2.930E+02  1.169E+03
   0.01861   3    0.19884  33   1.013E+05 -1.178E-09  7.128E-04  2.930E+02  1.163E+03
   0.01861   3    0.20516  34   1.013E+05 -1.096E-09  7.948E-04  2.930E+02  1.156E+03
   0.01861   3    0.21147  35   1.013E+05 -9.827E-10  8.729E-04  2.930E+02  1.148E+03
   0.01861   3    0.21778  36   1.013E+05 -8.208E-10  9.460E-04  2.930E+02  1.137E+03
   0.01861   3    0.22409  37   1.013E+05 -6.301E-10  9.919E-04  2.930E+02  1.125E+03
   0.01861   3    0.23041  38   1.013E+05 -4.351E-10  1.027E-03  2.930E+02  1.110E+03
   0.01861   3    0.23672  39   1.013E+05 -2.294E-10  1.053E-03  2.930E+02  1.092E+03
   0.01861   3    0.24303  40   1.013E+05 -2.647E-11  1.055E-03  2.930E+02  1.071E+03
   0.01861   3    0.24934  41   1.013E+05  1.592E-10  1.046E-03  2.930E+02  1.047E+03
   0.01861   3    0.25566  42   1.013E+05  3.317E-10  1.027E-03  2.930E+02  1.021E+03
   0.01861   3    0.26197  43   1.013E+05  4.881E-10  9.949E-04  2.930E+02  9.914E+02
   0.01861   3    0.26828  44   1.013E+05  6.220E-10  9.516E-04  2.930E+02  9.596E+02
   0.01861   3    0.27459  45   1.013E+05  7.294E-10  8.982E-04  2.930E+02  9.257E+02
   0.01861   3    0.28091  46   1.013E+05  8.093E-10  8.443E-04  2.930E+02  8.903E+02
   0.01861   3    0.28722  47   1.013E+05  8.750E-10  7.918E-04  2.930E+02  8.538E+02
   0.01861   3    0.29353  48   1.013E+05  9.213E-10  7.290E-04  2.930E+02  8.167E+02
   0.01861   3    0.29984  49   1.013E+05  9.292E-10  6.610E-04  2.930E+02  7.795E+02
   0.01861   3    0.30616  50   1.013E+05  9.130E-10  6.090E-04  2.930E+02  7.429E+02
   0.01861   3    0.31247  51   1.013E+05  8.983E-10  5.602E-04  2.930E+02  7.072E+02
   0.01861   3    0.31878  52   1.013E+05  8.670E-10  5.004E-04  2.930E+02  6.726E+02
   0.01861   3    0.32509  53   1.013E+05  8.121E-10  4.498E-04  2.930E+02  6.395E+02
   0.01861   3    0.33141  54   1.013E+05  7.602E-10  4.135E-04  2.930E+02  6.083E+02
   0.01861   3    0.33772  55   1.013E+05  7.252E-10  3.794E-04  2.930E+02  5.789E+02
   0.01861   3    0.34403  56   1.013E+05  6.932E-10  3.359E-04  2.930E+02  5.514E+02
   0.01861   3    0.35034  57   1.013E+05  6.373E-10  2.865E-04  2.930E+02  5.259E+02
   0.01861   3    0.35666  58   1.013E+05  5.645E-10  2.552E-04  2.930E+02  5.023E+02
   0.01861   3    0.36297  59   1.013E+05  5.136E-10  2.420E-04  2.930E+02  4.809E+02
   0.01861   3    0.36928  60   1.013E+05  4.901E-10  2.215E-04  2.930E+02  4.612E+02
   0.01861   3    0.37559  61   1.013E+05  4.644E-10  1.895E-04  2.930E+02  4.434E+02
   0.01861   3    0.38191  62   1.013E+05  4.188E-10  1.570E-04  2.930E+02  4.272E+02
   0.01861   3    0.38822  63   1.013E+05  3.585E-10  1.331E-04  2.930E+02  4.126E+02
   0.01861   3    0.39453  64   1.013E+05  3.048E-10  1.240E-04  2.930E+02  3.995E+02
   0.01861   3    0.40084  65   1.013E+05  2.747E-10  1.179E-04  2.930E+02  3.878E+02
   0.01861   3    0.40716  66   1.013E+05  2.544E-10  1.026E-04  2.930E+02  3.773E+02
   0.01861   3    0.41347  67   1.013E+05  2.245E-10  8.445E-05  2.930E+02  3.680E+02
   0.01861   3    0.41978  68   1.013E+05  1.881E-10  7.445E-05  2.930E+02  3.597E+02
   0.01861   3    0.42609  69   1.013E+05  1.630E-10  7.280E-05  2.930E+02  3.524E+02
   0.01861   3    0.43241  70   1.013E+05  1.479E-10  6.535E-05  2.930E+02  3.460E+02
   0.01861   3    0.43872  71   1.013E+05  1.333E-10  6.024E-05  2.930E+02  3.404E+02
   0.01861   3    0.44503  72   1.013E+05  1.300E-10  5.849E-05  2.930E+02  3.355E+02
   0.01861   3    0.45134  73   1.013E+05  1.260E-10  4.483E-05  2.930E+02  3.312E+02
   0.01861   3    0.45766  74   1.013E+05  1.059E-10  3.353E-05  2.930E+02  3.276E+02
   0.01861   3    0.46397  75   1.013E+05  8.176E-11  2.854E-05  2.930E+02  3.245E+02
   0.01861   3    0.47028  76   1.013E+05  6.085E-11  2.857E-05  2.930E+02  3.220E+02
   0.01861   3    0.47659  77   1.013E+05  5.868E-11  3.692E-05  2.930E+02  3.199E+02
   0.01861   3    0.48291  78   1.013E+05  7.425E-11  3.455E-05  2.930E+02  3.183E+02
   0.01861   3    0.48922  79   1.013E+05  7.211E-11  1.897E-05  2.930E+02  3.171E+02
   0.01861   3    0.49553  80   1.013E+05  6.769E-11  2.380E-05  2.930E+02  3.163E+02
   0.01861   3    0.50184  81   1.013E+05  6.966E-11 -9.533E-11  2.930E+02  3.159E+02
   0.01861   3    0.50500  82   1.013E+05  0.000E+00 -9.533E-11  2.930E+02  3.159E+02
   0.03102   4    0.00000   1   1.013E+05  0.000E+00  0.000E+00  2.930E+02  2.930E+02
   0.03102   4    0.00316   2   1.013E+05 -5.346E-09  8.940E-05  2.930E+02  4.570E+02
   0.03102   4    0.00947   3   1.013E+05 -5.181E-09  7.452E-04  2.930E+02  7.769E+02
   0.03102   4    0.01578   4   1.013E+05 -4.907E-09  1.241E-03  2.930E+02  1.076E+03
   0.03102   4    0.02209   5   1.013E+05 -4.552E-09  1.690E-03  2.930E+02  1.343E+03
   0.03102   4    0.02841   6   1.013E+05 -4.125E-09  2.119E-03  2.930E+02  1.568E+03
   0.03102   4    0.03472   7   1.013E+05 -3.633E-09  2.503E-03  2.930E+02  1.750E+03
   0.03102   4    0.04103   8   1.013E+05 -3.082E-09  2.826E-03  2.930E+02  1.889E+03
   0.03102   4    0.04734   9   1.013E+05 -2.468E-09  3.083E-03  2.930E+02  1.990E+03
   0.03102   4    0.05366  10   1.013E+05 -1.784E-09  3.263E-03  2.930E+02  2.059E+03
   0.03102   4    0.05997  11   1.013E+05 -1.021E-09  3.373E-03  2.930E+02  2.105E+03
   0.03102   4    0.06628  12   1.013E+05 -1.673E-10  3.402E-03  2.931E+02  2.133E+03
   0.03102   4    0.07259  13   1.013E+05  7.760E-10  3.355E-03  2.934E+02  2.149E+03
   0.03102   4    0.07891  14   1.013E+05  1.804E-09  3.187E-03  2.950E+02  2.158E+03
   0.03102   4    0.08522  15   1.013E+05  2.826E-09  2.683E-03  3.026E+02  2.163E+03
   0.03102   4    0.09153  16   1.013E+05  3.875E-09  2.661E-03  3.308E+02  2.166E+03
   0.03102   4    0.09784  17   1.013E+05  4.410E-09  8.979E-05  3.026E+02  1.576E+03
   0.03102   4    0.10416  18   1.013E+05  4.160E-09 -1.708E-04  2.950E+02  1.366E+03
   0.03102   4    0.11047  19   1.013E+05  3.596E-09 -2.657E-04  2.934E+02  1.281E+03
   0.03102   4    0.11678  20   1.013E+05  2.916E-09 -2.435E-04  2.931E+02  1.243E+03
   0.03102   4    0.12309  21   1.013E+05  2.254E-09 -2.096E-04  2.930E+02  1.223E+03
   0.03102   4    0.12941  22   1.013E+05  1.661E-09 -1.668E-04  2.930E+02  1.211E+03
   0.03102   4    0.13572  23   1.013E+05  1.158E-09 -1.030E-04  2.930E+02  1.204E+03
   0.03102   4    0.14203  24   1.013E+05  7.449E-10 -4.016E-05  2.930E+02  1.198E+03
   0.03102   4    0.14834  25   1.013E+05  4.106E-10  1.766E-05  2.930E+02  1.194E+03
   0.03102   4    0.15466  26   1.013E+05  1.426E-10  8.789E-05  2.930E+02  1.191E+03
   0.03102   4    0.16097  27   1.013E+05 -6.961E-11  1.664E-04  2.930E+02  1.187E+03
   0.03102   4    0.16728  28   1.013E+05 -2.382E-10  2.458E-04  2.930E+02  1.184E+03
   0.03102   4    0.17359  29   1.013E+05 -3.718E-10  3.247E-04  2.930E+02  1.181E+03
   0.03102   4    0.17991  30   1.013E+05 -4.767E-10  4.059E-04  2.930E+02  1.177E+03
